ACCELEROMETER X ,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,ATMOSPHERIC PRESSURE,SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude,LOCATION Altitude-google,LOCATION Altitude-atmospheric pressure,LOCATION Speed,LOCATION Accuracy,LOCATION ORIENTATION,Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1535,-2.9067,-0.6754,-0.9072,-8.8099,-4.2111,1.1289,6.282,4.6603,1.4091,0.4532,-0.0079,2.0,14.83,42.25,-6.15,36.8,62.1,165.34,0.0,1016.93,63.093,50.388344,-4.144424,77.0,NaN,,5.15,10.0,47.8,10 / 17,"$GPGSV,2,2,08,15,03,271,11,28,09,142,22,30,69,120,24,21,01,337,*7A::$GPGGA,195756,5023.299626,N,00408.666228,W,2,07,1.4,30.0,M,47.0,M,,*6E::$GPVTG,46.7,T,46.7,M,2.7,N,5.0,K,D*26::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195756,A,5023.299626,N,00408.666228,W,2.7,46.7,300819,4.8,W,D*2E::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.6,1.4,0.9*3D",366016,2019-08-30 20:57:56:875
-3.1951,-10.3145,-1.1959,-0.5725,-9.6411,-1.7007,3.5984,-4.5004,4.698,-1.9,-0.6934,0.709,2.0,11.93,40.81,-18.45,49.98,88.29,161.24,0.0,1016.88,55.444,50.388332,-4.1444,78.0,NaN,,4.21,10.0,65.4,10 / 17,"$GPGSV,2,2,08,15,03,271,11,28,09,142,19,30,69,120,22,21,01,337,*74::$GPGGA,195757,5023.300491,N,00408.665418,W,2,07,0.9,30.0,M,47.0,M,,*6A::$GPVTG,47.8,T,47.8,M,2.8,N,5.1,K,D*28::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195757,A,5023.300491,N,00408.665418,W,2.8,47.8,300819,4.8,W,D*27::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.1,0.9,0.7*38",367015,2019-08-30 20:57:57:874
-3.5291,-12.7094,-4.391,0.3664,-9.6067,1.936,-2.77,-1.3479,-4.0209,0.2174,-0.8201,-0.2502,2.0,12.38,40.38,-18.82,242.24,78.41,-10.72,0.0,1016.85,60.276,50.38834,-4.14439,78.0,NaN,,3.71,10.0,56.4,10 / 17,"$GPGSV,2,2,08,15,03,271,16,28,09,142,22,30,69,120,23,21,01,337,*7A::$GPGGA,195758,5023.299837,N,00408.664027,W,2,07,0.9,31.0,M,47.0,M,,*6C::$GPVTG,65.4,T,65.4,M,2.3,N,4.2,K,D*21::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195758,A,5023.299837,N,00408.664027,W,2.3,65.4,300819,4.8,W,D*27::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.2,0.9,0.7*3B",368015,2019-08-30 20:57:58:874
-1.7515,-8.8316,1.0362,-0.1491,-9.7302,1.213,-1.1447,1.0705,-0.6395,0.7063,0.0165,-0.3691,2.0,16.43,42.61,-7.3,209.03,86.91,41.07,0.0,1016.83,66.515,50.38834,-4.14439,78.0,NaN,,3.71,10.0,56.4,10 / 17,"$GPGSV,2,2,08,15,03,271,16,28,09,142,24,30,69,120,26,21,01,337,*79::$GPGGA,195759,5023.300368,N,00408.663418,W,2,07,1.1,31.0,M,47.0,M,,*6B::$GPVTG,56.4,T,56.4,M,2.0,N,3.7,K,D*20::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195759,A,5023.300368,N,00408.663418,W,2.0,56.4,300819,4.8,W,D*2A::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.3,1.1,0.8*3C",369014,2019-08-30 20:57:59:873
-2.411,-14.354,-0.265,-1.2665,-9.5456,-1.8571,4.5507,5.808,5.272,2.2502,-3.689,-0.5245,2.0,19.33,42.31,4.65,58.72,66.81,167.57,0.0,1016.63,60.214,50.388344,-4.144362,77.0,NaN,,3.85,10.0,75.8,10 / 17,"$GPGSV,2,2,08,15,03,271,16,28,09,142,24,30,69,120,28,21,01,337,*77::$GPGGA,195800,5023.300469,N,00408.663602,W,2,07,1.1,29.0,M,47.0,M,,*6E::$GPVTG,61.6,T,61.6,M,1.7,N,3.2,K,D*21::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195800,A,5023.300469,N,00408.663602,W,1.7,61.6,300819,4.8,W,D*24::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.3,1.1,0.8*3C",370015,2019-08-30 20:58:00:874
-6.1401,-18.9195,-11.7314,-0.495,-8.862,-4.1701,0.9266,5.6169,0.9206,1.9646,0.1608,-0.457,2.0,14.97,42.23,-6.08,37.56,62.03,163.17,0.0,1016.93,60.066,50.388325,-4.144357,77.0,NaN,,2.7,11.0,85.2,10 / 17,"$GPGSV,2,2,08,15,03,271,16,28,09,142,19,30,69,120,19,21,01,337,*7B::$GPGGA,195801,5023.300502,N,00408.661718,W,2,07,0.9,30.0,M,47.0,M,,*6A::$GPVTG,75.8,T,75.8,M,2.1,N,3.9,K,D*2F::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195801,A,5023.300502,N,00408.661718,W,2.1,75.8,300819,4.8,W,D*2F::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.1,0.9,0.7*38",371015,2019-08-30 20:58:01:874
0.0878,-6.4639,0.8837,-0.8033,-9.1872,-3.3348,-2.1774,-3.1765,2.1797,-1.6306,0.435,0.6818,2.0,11.4,42.49,-14.62,28.71,69.53,166.46,0.0,1016.92,53.05,50.38833,-4.144334,79.0,NaN,,3.2,11.0,79.4,9 / 16,"$GPGSV,2,2,08,15,03,271,14,28,09,142,21,30,69,120,22,21,01,337,*7A::$GPGGA,195802,5023.299484,N,00408.661391,W,2,07,1.0,30.0,M,47.0,M,,*6A::$GPVTG,85.2,T,85.2,M,1.5,N,2.7,K,D*27::$GLGSV,2,2,08,69,72,348,30,85,22,298,20,80,04,187,,84,08,244,*63::$GPRMC,195802,A,5023.299484,N,00408.661391,W,1.5,85.2,300819,4.8,W,D*25::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.3,1.0,0.7*32",372016,2019-08-30 20:58:02:875
0.0602,-13.5771,3.4552,0.327,-9.801,0.0538,-1.6751,-3.7778,1.6531,-2.9438,1.1271,0.7467,2.0,12.92,42.46,-18.79,298.15,88.06,-80.67,0.0,1016.77,59.829,50.388344,-4.144326,78.0,NaN,,3.67,10.0,66.4,10 / 17,"$GPGSV,2,2,08,15,03,271,14,28,09,142,24,30,69,120,24,21,01,337,*79::$GPGGA,195803,5023.299793,N,00408.660014,W,2,07,1.0,32.0,M,47.0,M,,*63::$GPVTG,79.4,T,79.4,M,1.7,N,3.2,K,D*21::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195803,A,5023.299793,N,00408.660014,W,1.7,79.4,300819,4.8,W,D*29::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.3,1.0,0.7*32",373016,2019-08-30 20:58:03:875
-2.1044,-10.8221,-1.726,0.4211,-9.4923,2.4268,-1.0978,0.1652,-1.588,0.9059,-0.7454,-0.3433,2.0,19.14,40.95,-8.07,272.47,78.87,-2.33,0.0,1016.85,55.812,50.38836,-4.144306,78.0,NaN,,4.14,11.0,62.9,10 / 17,"$GPGSV,2,2,08,15,03,271,14,28,09,142,20,30,69,120,22,21,01,337,*7B::$GPGGA,195804,5023.300706,N,00408.659548,W,2,07,1.1,31.0,M,47.0,M,,*6D::$GPVTG,66.4,T,66.4,M,2.0,N,3.7,K,D*20::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195804,A,5023.300706,N,00408.659548,W,2.0,66.4,300819,4.8,W,D*2F::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.3,1.1,0.8*3C",374015,2019-08-30 20:58:04:874
0.0459,-8.2912,1.2088,-0.2586,-9.801,0.2083,-2.0627,-0.5001,-0.5994,0.7303,0.1351,0.4944,2.0,16.98,41.45,2.16,117.66,87.64,154.02,0.0,1016.85,67.921,50.388367,-4.144284,78.0,NaN,,3.49,11.0,69.0,10 / 17,"$GPGSV,2,2,08,15,03,271,16,28,09,142,20,30,69,120,24,21,01,337,*7F::$GPGGA,195805,5023.301687,N,00408.658377,W,2,07,1.2,31.0,M,47.0,M,,*6D::$GPVTG,62.9,T,62.9,M,2.2,N,4.1,K,D*23::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195805,A,5023.301687,N,00408.658377,W,2.2,62.9,300819,4.8,W,D*27::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.5,1.2,0.9*38",375015,2019-08-30 20:58:05:874
