index,light,lat,long,accel_x,ACCELEROMETER Y,ACCELEROMETER Z,LOCATION Accuracy,elapsed,timestamp,geometry
89,0.0,50.386309999999995,-4.147206,0.4657,-8.1448,0.0245,9.0,89016,2019-08-30 20:53:19:875,POINT (-4.147206 50.38630999999999)
90,0.0,50.38632,-4.147193,-2.3080000000000003,-14.1272,0.3564,9.0,90020,2019-08-30 20:53:20:879,POINT (-4.147193 50.38632)
91,0.0,50.38632,-4.147174,-4.6286,-19.9209,-14.7871,9.0,91015,2019-08-30 20:53:21:874,POINT (-4.147174 50.38632)
92,0.0,50.38632,-4.147155000000001,-2.3776,-10.1257,-1.3274,9.0,92015,2019-08-30 20:53:22:874,POINT (-4.147155000000001 50.38632)
93,0.0,50.38632,-4.1471279999999995,-4.3282,-14.0394,-2.9946,9.0,93014,2019-08-30 20:53:23:873,POINT (-4.147127999999999 50.38632)
94,0.0,50.38633,-4.14712,-1.7673,-9.3213,0.4062,9.0,94015,2019-08-30 20:53:24:874,POINT (-4.14712 50.38633)
95,0.0,50.38633,-4.14711,-2.9627,-12.075,2.4716,9.0,95015,2019-08-30 20:53:25:874,POINT (-4.14711 50.38633)
96,0.0,50.386333,-4.147094999999999,-0.4036,-10.5368,-9.1758,9.0,96015,2019-08-30 20:53:26:874,POINT (-4.147094999999999 50.386333)
97,0.0,50.386337,-4.147086,1.2646,-7.1284,1.5687,9.0,97015,2019-08-30 20:53:27:874,POINT (-4.147086 50.386337)
98,0.0,50.386340000000004,-4.1470650000000004,-4.2596,-11.1831,-0.8111,9.0,98016,2019-08-30 20:53:28:875,POINT (-4.147065 50.38634)
99,0.0,50.38635,-4.1470519999999995,-3.8659,-12.7659,-1.9265,9.0,99016,2019-08-30 20:53:29:875,POINT (-4.147052 50.38635)
100,0.0,50.386353,-4.147039,-0.626,-7.8088,-0.4036,9.0,100015,2019-08-30 20:53:30:874,POINT (-4.147039 50.386353)
101,0.0,50.386353,-4.147022,-2.3674,-8.6856,1.6694,9.0,101017,2019-08-30 20:53:31:876,POINT (-4.147022 50.386353)
102,0.0,50.386356,-4.147007,-0.3027,-4.4787,0.6753,9.0,102015,2019-08-30 20:53:32:874,POINT (-4.147007 50.386356)
103,0.0,50.386368,-4.147012,-3.4505,-9.4885,-1.4664,9.0,103015,2019-08-30 20:53:33:874,POINT (-4.147012 50.386368)
104,0.0,50.386375,-4.146993,-2.3777,-14.5579,-2.0452,9.0,104015,2019-08-30 20:53:34:874,POINT (-4.146993 50.386375)
105,0.0,50.386375,-4.146993,-1.7753,-9.2993,0.5433,9.0,105017,2019-08-30 20:53:35:876,POINT (-4.146993 50.386375)
106,0.0,50.386379999999996,-4.146971,-1.3248,-7.7721,-0.2815,9.0,106015,2019-08-30 20:53:36:874,POINT (-4.146971 50.38638)
107,0.0,50.386379999999996,-4.146955,2.3823,-13.3079,1.1812,9.0,107016,2019-08-30 20:53:37:875,POINT (-4.146955 50.38638)
108,0.0,50.386390000000006,-4.146939,-0.6559,-13.9339,-13.6001,9.0,108015,2019-08-30 20:53:38:874,POINT (-4.146939 50.38639000000001)
109,0.0,50.386390000000006,-4.146939,0.4714,-7.0052,2.0091,9.0,109016,2019-08-30 20:53:39:875,POINT (-4.146939 50.38639000000001)
110,0.0,50.386395,-4.146929,-4.0907,-13.3103,-4.0331,9.0,110015,2019-08-30 20:53:40:874,POINT (-4.146929 50.386395)
111,0.0,50.386402000000004,-4.146923,-1.8529,-9.1118,1.3862,9.0,111015,2019-08-30 20:53:41:874,POINT (-4.146923 50.386402)
112,0.0,50.38642,-4.146907,-2.5873,-11.2779,-1.2955,9.0,112015,2019-08-30 20:53:42:874,POINT (-4.146907 50.38642)
113,0.0,50.38642,-4.146889,0.4109,-7.5769,-5.1461,9.0,113016,2019-08-30 20:53:43:875,POINT (-4.146889 50.38642)
114,0.0,50.386425,-4.146876,1.0756,-6.3194,1.0959999999999999,9.0,114015,2019-08-30 20:53:44:874,POINT (-4.146876 50.386425)
115,0.0,50.386433000000004,-4.146865,4.9263,-12.6373,1.5786,9.0,115015,2019-08-30 20:53:45:874,POINT (-4.146865 50.386433)
116,0.0,50.386433000000004,-4.146846,-2.2611,-9.6967,-1.4921,9.0,116015,2019-08-30 20:53:46:874,POINT (-4.146846 50.386433)
117,0.0,50.386448,-4.146843,-4.9996,-9.912,-0.5338,9.0,117015,2019-08-30 20:53:47:874,POINT (-4.146843 50.386448)
118,0.0,50.38645,-4.146828,7.7937,-12.107000000000001,-0.6031,9.0,118015,2019-08-30 20:53:48:874,POINT (-4.146828 50.38645)
119,0.0,50.38646,-4.146821,0.5431,-4.0613,1.6904,9.0,119015,2019-08-30 20:53:49:874,POINT (-4.146821 50.38646)
120,0.0,50.386456,-4.146804,-3.8438,-11.0697,-1.0282,9.0,120015,2019-08-30 20:53:50:874,POINT (-4.146804 50.386456)
121,0.0,50.386463,-4.146783,-3.0156,-11.195,-1.2802,9.0,121015,2019-08-30 20:53:51:874,POINT (-4.146783 50.386463)
122,0.0,50.386466999999996,-4.146768,-2.0714,-8.6527,0.243,9.0,122015,2019-08-30 20:53:52:874,POINT (-4.146768 50.386467)
123,0.0,50.38647,-4.1467529999999995,0.4913,-6.5435,3.0664,9.0,123016,2019-08-30 20:53:53:875,POINT (-4.146752999999999 50.38647)
